R,Z,dR,dZ
202.5,1303.201863,12,18
216,1303.201863,12,18
175.5,1322.226708,12,18
189,1322.226708,12,18
202.5,1322.226708,12,18
216,1322.226708,12,18
175.5,1341.251553,12,18
189,1341.251553,12,18
202.5,1341.251553,12,18
216,1341.251553,12,18
175.5,1360.276398,12,18
189,1360.276398,12,18
202.5,1360.276398,12,18
216,1360.276398,12,18
175.5,1379.301242,12,18
189,1379.301242,12,18
202.5,1379.301242,12,18
216,1379.301242,12,18
175.5,1398.326087,12,18
189,1398.326087,12,18
202.5,1398.326087,12,18
216,1398.326087,12,18
175.5,1417.350932,12,18
189,1417.350932,12,18
202.5,1417.350932,12,18
216,1417.350932,12,18
175.5,1436.375776,12,18
189,1436.375776,12,18
202.5,1436.375776,12,18
216,1436.375776,12,18
175.5,1455.400621,12,18
189,1455.400621,12,18
202.5,1455.400621,12,18
216,1455.400621,12,18
175.5,1474.425466,12,18
189,1474.425466,12,18
202.5,1474.425466,12,18
216,1474.425466,12,18
175.5,1493.450311,12,18
189,1493.450311,12,18
202.5,1493.450311,12,18
216,1493.450311,12,18
175.5,1512.475155,12,18
189,1512.475155,12,18
202.5,1512.475155,12,18
216,1512.475155,12,18
175.5,1531.5,12,18
189,1531.5,12,18
202.5,1531.5,12,18
216,1531.5,12,18
